County,Dropout_Rate,Median_household_income_2012,unemployment_rate,single_female_with_children,Rank_by_Percent_by_Column_B,single_male_with_children,American_indian_and_Native_Alaskan,Black_percentage,White_percentage,TotalRevenuePerStudent,TotalFederalRevenuePerStudent,TotalLocalRevenuePerStudent,TotalStateRevenuePerStudent,Student_number,Number_of_public_schools,Region
Adams,19.57,42354,10.3,0.081,16,0.041,0.019,0.006,0.625,116003,5810,18386,91807,4703,15,Rural
Asotin,23.65,41703,8.5,0.075,9,0.023,0.014,0.004,0.943,21747,1674,5008,15065,3296,11,Rural
Benton,14.61,62739,9.8,0.071,27,0.03,0.009,0.013,0.824,69509,6894,15072,47543,35396,60,Urban
Chelan,21.59,47265,9.7,0.06,14,0.028,0.01,0.003,0.793,83872,6377,18281,59209,13329,38,Rural
Clallam,51.05,41887,11.5,0.052,2,0.024,0.051,0.008,0.87,61014,8682,10968,41366,10462,29,Rural
Clark,15.09,56054,10,0.067,25,0.028,0.009,0.02,0.854,97295,4566,30945,61787,79279,133,Urban
Columbia,16.22,39461,9,0.054,23,0.022,0.014,0.003,0.93,32795,2400,3676,26719,472,4,Rural
Cowlitz,17.63,42752,11.4,0.072,19,0.033,0.015,0.006,0.889,65721,4466,17060,44197,16702,44,Rural
Douglas,13.02,48050,10.9,0.067,31,0.031,0.011,0.003,0.796,156019,15122,24598,116301,7249,21,Rural
Ferry,9.23,37548,18.4,0.05,36,0.038,0.167,0.003,0.763,85383,25431,4907,55045,853,12,Rural
Franklin,22.27,56221,10.8,0.092,12,0.04,0.007,0.019,0.605,125037,9150,10438,105448,19269,31,Rural
Garfield,3.57,45187,8.7,0.03,39,0.027,0.003,0,0.938,15406,985,5372,9049,317,2,Rural
Grant,23.66,45021,11.2,0.075,8,0.037,0.012,0.011,0.728,119436,11508,24195,83732,19488,54,Rural
Grays Harbor,24.59,40354,14.2,0.065,6,0.033,0.046,0.011,0.849,184876,23793,49628,111456,10266,40,Rural
Island,11.73,55091,8.7,0.048,35,0.018,0.008,0.022,0.861,34425,2610,11814,20001,8640,24,Rural
Jefferson,14.62,46651,10.8,0.041,26,0.017,0.023,0.008,0.91,109168,18153,24357,66659,2719,14,Rural
King,14.56,68313,6.9,0.051,28,0.019,0.008,0.062,0.687,270609,14932,104730,150948,273870,508,Urban
Kitsap,12.74,57155,8.5,0.061,32,0.024,0.016,0.026,0.826,58764,4463,19290,35012,36114,79,Urban
Kittitas,19.9,43098,10.1,0.044,15,0.018,0.01,0.009,0.893,97463,4521,32479,60463,4985,20,Rural
Klickitat,29.83,44825,11.7,0.046,5,0.027,0.024,0.002,0.877,202006,11146,43737,147122,3127,22,Rural
Lewis,23.37,41208,13.1,0.062,11,0.03,0.014,0.005,0.897,171838,15233,42069,114535,11908,45,Rural
Lincoln,5.99,45690,8.3,0.044,38,0.021,0.016,0.003,0.95,162196,7811,32059,122324,2070,16,Rural
Mason,17.21,48804,11.8,0.053,20,0.029,0.037,0.011,0.861,95204,8498,32294,54410,7992,22,Rural
Okanogan,23.91,35848,12,0.062,7,0.032,0.114,0.004,0.739,106336,20884,18692,66760,10708,33,Rural
Pacific,40.71,38018,13.7,0.042,3,0.025,0.023,0.004,0.874,99917,5819,18551,75548,3018,20,Rural
Pend Oreille,12.33,37755,14.3,0.053,33,0.026,0.038,0.004,0.916,45580,5390,11597,28593,1600,9,Rural
Pierce,19.02,57162,9.9,0.08,17,0.029,0.014,0.068,0.742,183139,15259,60358,107522,131541,273,Urban
San Juan,16.67,55025,7.7,0.041,21,0.021,0.007,0.003,0.926,61375,2915,15982,42479,1947,14,Rural
Skagit,22.16,56443,10.3,0.06,13,0.027,0.022,0.007,0.834,93598,9338,29944,54317,19178,48,Rural
Skamania,53.19,52401,11.5,0.048,1,0.027,0.016,0.004,0.928,56705,9232,7172,40301,1780,11,Rural
Snohomish,15.67,64033,8.2,0.06,24,0.027,0.014,0.025,0.784,187262,10977,61945,114343,115533,220,Urban
Spokane,14.47,48265,10,0.068,29,0.027,0.015,0.017,0.892,161108,10978,42825,107307,73608,169,Urban
Stevens,34.22,41643,13.4,0.052,4,0.028,0.055,0.003,0.894,173165,25607,19324,128233,7228,41,Rural
Thurston,16.65,62009,9,0.069,22,0.025,0.014,0.027,0.824,92389,5097,30738,56554,41141,79,Urban
Wahkiakum,13.16,45624,13,0.031,30,0.027,0.013,0.003,0.94,13172,816,3165,9191,460,2,Rural
Walla Walla,12.29,46147,8.3,0.062,34,0.024,0.01,0.018,0.845,115051,8160,35518,71372,8996,30,Rural
Whatcom,18.27,51268,8.5,0.052,18,0.021,0.028,0.01,0.854,82687,5591,26619,50477,26508,69,Rural
Whitman,8.24,32570,7.2,0.035,37,0.012,0.007,0.017,0.846,273450,11797,64554,197100,4636,26,Rural
Yakima,23.54,42162,12.2,0.094,10,0.04,0.043,0.01,0.637,172711,23985,23822,124903,53250,109,Rural
